ABLR-10	0.626	0.531	0.440	0.812
ABLR-50	0.630	0.546	0.455	0.806
BayesLDA-200-10-1.0000000000000004E-5	0.655	0.705	0.826	0.484
BayesNonSparse-200-10-10.0	0.673	0.715	0.822	0.524
LDA	0.560	0.553	0.547	0.574
LR	0.602	0.448	0.360	0.845
SVM	0.622	0.621	0.624	0.621
ABLR-10	0.635	0.536	0.429	0.842
ABLR-50	0.635	0.540	0.439	0.832
BayesLDA-200-10-1.0000000000000004E-5	0.652	0.717	0.880	0.424
BayesNonSparse-200-10-10.0	0.683	0.731	0.862	0.504
LDA	0.585	0.582	0.579	0.591
LR	0.611	0.447	0.340	0.883
SVM	0.641	0.647	0.661	0.620
ABLR-10	0.627	0.516	0.418	0.836
ABLR-50	0.628	0.510	0.413	0.843
BayesLDA-200-10-1.0000000000000004E-5	0.660	0.717	0.860	0.459
BayesNonSparse-200-10-10.0	0.679	0.727	0.853	0.504
LDA	0.615	0.611	0.605	0.625
LR	0.619	0.483	0.387	0.850
SVM	0.647	0.652	0.665	0.628
ABLR-10	0.627	0.519	0.412	0.842
ABLR-50	0.627	0.519	0.415	0.839
BayesLDA-200-10-1.0000000000000004E-5	0.659	0.717	0.865	0.454
BayesNonSparse-200-10-10.0	0.681	0.728	0.855	0.508
LDA	0.633	0.635	0.638	0.629
LR	0.620	0.496	0.390	0.851
SVM	0.655	0.659	0.669	0.640
ABLR-10	0.630	0.515	0.408	0.853
ABLR-50	0.635	0.521	0.416	0.854
BayesLDA-200-10-1.0000000000000004E-5	0.666	0.721	0.861	0.472
BayesNonSparse-200-10-10.0	0.687	0.733	0.857	0.517
LDA	0.645	0.643	0.641	0.649
LR	0.608	0.418	0.336	0.879
SVM	0.665	0.667	0.672	0.657
ABLR-10	0.622	0.494	0.385	0.859
ABLR-50	0.623	0.492	0.381	0.864
BayesLDA-200-10-1.0000000000000004E-5	0.663	0.718	0.858	0.469
BayesNonSparse-200-10-10.0	0.683	0.730	0.855	0.511
LDA	0.649	0.656	0.668	0.630
LR	0.596	0.392	0.307	0.885
SVM	0.667	0.679	0.704	0.630
ABLR-10	0.641	0.544	0.445	0.836
ABLR-50	0.638	0.533	0.431	0.845
BayesLDA-200-10-1.0000000000000004E-5	0.663	0.720	0.867	0.459
BayesNonSparse-200-10-10.0	0.690	0.736	0.867	0.513
LDA	0.661	0.672	0.697	0.625
LR	0.626	0.490	0.397	0.855
SVM	0.677	0.693	0.729	0.624
ABLR-10	0.618	0.474	0.356	0.880
ABLR-50	0.617	0.470	0.351	0.882
BayesLDA-200-10-1.0000000000000004E-5	0.661	0.718	0.860	0.462
BayesNonSparse-200-10-10.0	0.687	0.733	0.858	0.516
LDA	0.661	0.668	0.684	0.639
LR	0.617	0.469	0.350	0.884
SVM	0.681	0.696	0.731	0.630
ABLR-10	0.607	0.466	0.350	0.865
ABLR-50	0.604	0.451	0.333	0.875
BayesLDA-200-10-1.0000000000000004E-5	0.666	0.719	0.856	0.475
BayesNonSparse-200-10-10.0	0.686	0.732	0.858	0.514
LDA	0.666	0.676	0.696	0.637
LR	0.599	0.428	0.315	0.882
SVM	0.684	0.700	0.738	0.630
ABLR-10	0.612	0.458	0.335	0.890
ABLR-50	0.612	0.458	0.334	0.889
BayesLDA-200-10-1.0000000000000004E-5	0.667	0.721	0.860	0.475
BayesNonSparse-200-10-10.0	0.684	0.729	0.851	0.517
LDA	0.665	0.672	0.688	0.642
LR	0.611	0.455	0.330	0.892
SVM	0.681	0.696	0.732	0.630
