BayesLDA-200-10-1.0000000000000004E-5	0.649	0.698	0.826	0.473
BayesRDA-200-10-10.0	0.664	0.706	0.817	0.511
LDA	0.542	0.532	0.524	0.561
LR	0.591	0.394	0.308	0.873
SVM	0.615	0.614	0.615	0.615
BayesLDA-200-10-1.0000000000000004E-5	0.645	0.705	0.847	0.443
BayesRDA-200-10-10.0	0.667	0.716	0.840	0.495
LDA	0.597	0.593	0.590	0.605
LR	0.602	0.450	0.340	0.863
SVM	0.633	0.634	0.636	0.630
BayesLDA-200-10-1.0000000000000004E-5	0.666	0.724	0.875	0.457
BayesRDA-200-10-10.0	0.684	0.732	0.860	0.508
LDA	0.637	0.642	0.651	0.624
LR	0.631	0.517	0.427	0.836
SVM	0.666	0.674	0.690	0.642
BayesLDA-200-10-1.0000000000000004E-5	0.665	0.717	0.849	0.480
BayesRDA-200-10-10.0	0.682	0.726	0.842	0.523
LDA	0.642	0.643	0.648	0.637
LR	0.602	0.420	0.333	0.872
SVM	0.662	0.670	0.687	0.638
BayesLDA-200-10-1.0000000000000004E-5	0.669	0.724	0.867	0.471
BayesRDA-200-10-10.0	0.686	0.732	0.858	0.515
LDA	0.641	0.642	0.646	0.635
LR	0.617	0.478	0.389	0.845
SVM	0.657	0.664	0.678	0.635
BayesLDA-200-10-1.0000000000000004E-5	0.665	0.720	0.862	0.468
BayesRDA-200-10-10.0	0.685	0.730	0.855	0.514
LDA	0.649	0.656	0.670	0.629
LR	0.605	0.436	0.317	0.892
SVM	0.668	0.680	0.709	0.628
BayesLDA-200-10-1.0000000000000004E-5	0.668	0.721	0.857	0.479
BayesRDA-200-10-10.0	0.685	0.730	0.854	0.515
LDA	0.657	0.661	0.672	0.642
LR	0.612	0.466	0.370	0.853
SVM	0.670	0.682	0.708	0.632
BayesLDA-200-10-1.0000000000000004E-5	0.668	0.722	0.865	0.470
BayesRDA-200-10-10.0	0.688	0.733	0.855	0.521
LDA	0.661	0.669	0.686	0.637
LR	0.617	0.473	0.355	0.880
SVM	0.681	0.695	0.728	0.635
BayesLDA-200-10-1.0000000000000004E-5	0.669	0.722	0.859	0.479
BayesRDA-200-10-10.0	0.691	0.735	0.858	0.524
LDA	0.669	0.676	0.691	0.647
LR	0.626	0.486	0.386	0.866
SVM	0.677	0.690	0.723	0.630
BayesLDA-200-10-1.0000000000000004E-5	0.676	0.726	0.855	0.497
BayesRDA-200-10-10.0	0.694	0.736	0.856	0.532
LDA	0.676	0.684	0.704	0.648
LR	0.606	0.451	0.347	0.866
SVM	0.687	0.701	0.735	0.639

