DTree-10,100,100.41,149.38,50.62,99.59,7.29,0.005075,0.624475,0.566186192134536
DTree-20,100,102.64,147.9,52.1,97.36,5.28,0.005075,0.62635,0.572958727857948
LDA,100,137.1,142.79,57.21,62.9,277.08,0.28575,0.699725,0.691064941457428
LR,100,68,132,68,132,0.77,0.0051,0.5,0.226666666666667
NLSVM-0.1,100,87.97,117.73,82.27,112.03,0.47,0.0169,0.51425,0.326218862753015
NLSVM-1.0,100,118.14,101.14,98.86,81.86,0.33,0.013575,0.5482,0.484677115536157
NLSVM-10,100,98.88,133.85,66.15,101.12,0.2,0.01365,0.581825,0.431856547563988
RFC-100,100,61.94,185.52,14.48,138.06,11.48,0.011375,0.61865,0.438594991802151
RFC-50,100,59.75,184.87,15.13,140.25,5.26,0.007325,0.61155,0.422292410294703
SDA-0.5,100,134.39,158.9,41.1,65.61,1535.83,0.172225,0.733225000000001,0.707088306735406
SDA-1.0,100,133.34,158.66,41.34,66.66,1545.62,0.173675,0.73,0.70287672274396
SDA-1.5,100,132.98,158.6,41.4,67.02,1541.1,0.1732,0.72895,0.701380701284373
SDA-2.0,100,132.72,158.53,41.47,67.28,1548.78,0.171275,0.728125,0.700341330043646
SDA-2.5,100,132.58,158.5,41.5,67.42,1552.17,0.171125,0.7277,0.699766327997568
SDA-3.0,100,132.5,158.46,41.54,67.5,1544.22,0.17275,0.7274,0.699372591986204
SVM,100,142.98,144.73,55.27,57.02,0.85,0.006075,0.719275,0.715085452647942
Ye-LDA,100,122.03,156.2,43.8,77.97,93.08,0.00725,0.695575,0.658572138541757
\TheName{}-0.5,100,139.71,106.69,93.31,60.29,1631.49,0.17325,0.616,0.649611933306903
\TheName{}-1.0,100,147.55,145.07,54.93,52.45,1618.59,0.173525,0.73155,0.731205973477532
\TheName{}-1.5,100,143.04,153.59,46.41,56.96,1634.44,0.173175,0.741575,0.729249511576587
\TheName{}-2.0,100,139.97,156.25,43.75,60.03,1626.5,0.17305,0.74055,0.722786323521852
\TheName{}-2.5,100,138.31,157.56,42.44,61.69,1618.92,0.1719,0.739675,0.718935969655773
\TheName{}-3.0,100,136.58,157.99,42.01,63.42,1626.8,0.171975,0.736425,0.71384858715004
