DTree-10,20,82.05,170.2,29.8,117.95,2.7,0.003875,0.630625,0.513237328443265
DTree-20,20,114.9,161.4,38.6,85.1,4.8,0.003875,0.69075,0.64693618863921
LDA,20,136.8,145.95,54.05,63.2,301.25,0.178375,0.706875,0.69854779658251
LR,20,20,180,20,180,0.5,0.004375,0.5,0.0666666666666667
NLSVM-0.1,20,113.85,99.35,100.65,86.15,3.6,0.059125,0.533,0.407523191652314
NLSVM-1.0,20,167.7,78.05,121.95,32.3,3.1,0.046375,0.614375,0.651173581788657
NLSVM-10,20,109.45,137.85,62.15,90.55,2.85,0.045875,0.61825,0.497756829685098
RFC-100,20,90.85,176.9,23.1,109.15,36.05,0.022375,0.669375,0.57753200549682
RFC-50,20,90.25,175.95,24.05,109.75,15.25,0.010375,0.6655,0.572543435531813
SDA-0.5,20,135.25,175,25,64.75,1300.4,0.170875,0.775625,0.747980746448671
SDA-1.0,20,133.7,174.3,25.7,66.3,1303.75,0.173125,0.77,0.741131921595113
SDA-1.5,20,133.35,174.1,25.9,66.65,1304.3,0.173,0.768625,0.739414271578632
SDA-2.0,20,133.05,174.1,25.9,66.95,1318.9,0.17375,0.767875,0.738267142263946
SDA-2.5,20,133,174.1,25.9,67,1295.6,0.170875,0.76775,0.738088734552287
SDA-3.0,20,132.85,174.05,25.95,67.15,1307.3,0.1745,0.76725,0.737451031636156
SVM,20,166.05,163.45,36.55,33.95,4.7,0.004375,0.82375,0.824197432747167
Ye-LDA,20,143.7,172.05,27.95,56.3,157.6,0.00525,0.789375,0.770035580582259
\TheName{}-0.5,20,168.25,136.55,63.45,31.75,1377.75,0.183375,0.762,0.78110011489559
\TheName{}-1.0,20,159.6,173.55,26.45,40.4,1382.4,0.177,0.832875,0.82541930688692
\TheName{}-1.5,20,148.15,174.85,25.15,51.85,1378.6,0.176375,0.8075,0.79163746719156
\TheName{}-2.0,20,143,175.25,24.75,57,1372.4,0.180125,0.795625,0.775265213084346
\TheName{}-2.5,20,140.8,175.1,24.9,59.2,1386.7,0.1765,0.78975,0.76754960718956
\TheName{}-3.0,20,139.05,175,25,60.95,1380.85,0.175625,0.785125,0.761357951613407
