LDA	200	199	1	0	32	0.0275
SDA-0.5	195	154	46	5	710	0.025
SDA-1.0	195	154	46	5	713	0.025
SDA-1.5	195	154	46	5	712	0.0225
SDA-2.0	195	154	46	5	708	0.025
SDA-2.5	195	154	46	5	710	0.025
SDA-3.0	195	154	46	5	705	0.0225
\TheName{}-0.5	20	65	135	180	725	0.025
\TheName{}-1.0	197	195	5	3	732	0.025
\TheName{}-1.5	196	163	37	4	728	0.025
\TheName{}-2.0	195	159	41	5	722	0.025
\TheName{}-2.5	195	158	42	5	724	0.025
\TheName{}-3.0	195	155	45	5	726	0.025
SVM	200	200	0	0	76	0.0025
LR	200	0	200	0	1	0.0025
Ye-LDA	193	183	17	7	32	0.0025
DTree-10	200	200	0	0	2	0.0025
DTree-20	200	200	0	0	2	0.0
RFC-50	200	186	14	0	21	0.005
RFC-100	200	196	4	0	35	0.0125
NLSVM-0.1	0	200	0	200	14	0.085
NLSVM-1.0	200	198	2	0	9	0.0525
NLSVM-10	199	171	29	1	6	0.0275
LDA	200	198	2	0	33	0.025
SDA-0.5	195	166	34	5	702	0.025
SDA-1.0	194	166	34	6	712	0.025
SDA-1.5	194	166	34	6	704	0.025
SDA-2.0	194	166	34	6	705	0.025
SDA-2.5	194	166	34	6	710	0.025
SDA-3.0	194	166	34	6	704	0.025
\TheName{}-0.5	6	34	166	194	727	0.025
\TheName{}-1.0	197	192	8	3	730	0.025
\TheName{}-1.5	195	168	32	5	725	0.025
\TheName{}-2.0	195	168	32	5	720	0.025
\TheName{}-2.5	195	166	34	5	726	0.025
\TheName{}-3.0	195	166	34	5	729	0.0225
SVM	200	198	2	0	33	0.005
LR	200	0	200	0	1	0.0025
Ye-LDA	195	170	30	5	26	0.0025
DTree-10	200	196	4	0	2	0.0025
DTree-20	200	196	4	0	1	0.0025
RFC-50	200	193	7	0	6	0.005
RFC-100	200	194	6	0	37	0.01
NLSVM-0.1	200	0	200	0	15	0.0875
NLSVM-1.0	200	191	9	0	9	0.05
NLSVM-10	197	172	28	3	5	0.0275
LDA	200	199	1	0	33	0.025
SDA-0.5	197	168	32	3	709	0.025
SDA-1.0	197	167	33	3	713	0.025
SDA-1.5	197	167	33	3	707	0.025
SDA-2.0	197	167	33	3	703	0.03
SDA-2.5	197	167	33	3	707	0.025
SDA-3.0	197	167	33	3	705	0.025
\TheName{}-0.5	37	36	164	163	729	0.025
\TheName{}-1.0	195	193	7	5	728	0.025
