LDA	148	136	64	52	642	0.2275
SDA-0.5	152	177	23	48	1615	0.1875
SDA-1.0	149	175	25	51	1608	0.1725
SDA-1.5	149	175	25	51	1548	0.1775
SDA-2.0	149	174	26	51	1522	0.2075
SDA-2.5	148	174	26	52	1637	0.1775
SDA-3.0	147	174	26	53	1601	0.1975
\TheName{}-0.5	181	175	25	19	1664	0.185
\TheName{}-1.0	158	176	24	42	1669	0.1675
\TheName{}-1.5	154	176	24	46	1710	0.1975
\TheName{}-2.0	152	176	24	48	1751	0.1725
\TheName{}-2.5	151	176	24	49	1618	0.18
\TheName{}-3.0	149	175	25	51	1627	0.18
SVM	178	174	26	22	19	0.005
LR	0	200	0	200	1	0.0075
Ye-LDA	168	170	30	32	317	0.005
DTree-10	188	59	141	12	4	0.005
DTree-20	111	172	28	89	8	0.005
RFC-50	117	178	22	83	112	0.02
RFC-100	113	179	21	87	282	0.0525
NLSVM-0.1	199	27	173	1	30	0.1575
NLSVM-1.0	180	109	91	20	19	0.125
NLSVM-10	141	180	20	59	18	0.1525
LDA	154	161	39	46	490	0.19
SDA-0.5	158	172	28	42	1611	0.275
SDA-1.0	159	172	28	41	1916	0.235
SDA-1.5	161	172	28	39	1645	0.23
SDA-2.0	161	172	28	39	1683	0.1975
SDA-2.5	161	172	28	39	1637	0.185
SDA-3.0	161	172	28	39	1694	0.175
\TheName{}-0.5	185	159	41	15	1900	0.1825
\TheName{}-1.0	179	180	20	21	1553	0.175
\TheName{}-1.5	167	178	22	33	1630	0.18
\TheName{}-2.0	165	175	25	35	1593	0.19
\TheName{}-2.5	165	174	26	35	1699	0.2
\TheName{}-3.0	165	173	27	35	1702	0.1825
SVM	191	181	19	9	27	0.005
LR	0	200	0	200	1	0.005
Ye-LDA	159	175	25	41	303	0.015
DTree-10	187	73	127	13	4	0.0025
DTree-20	105	176	24	95	9	0.005
RFC-50	128	181	19	72	153	0.0575
RFC-100	123	182	18	77	127	0.08
NLSVM-0.1	197	28	172	3	30	0.1725
NLSVM-1.0	169	133	67	31	20	0.1525
NLSVM-10	186	174	26	14	20	0.13
LDA	135	165	35	65	502	0.175
SDA-0.5	104	185	15	96	1586	0.18
SDA-1.0	104	184	16	96	1639	0.2
SDA-1.5	103	184	16	97	1592	0.1775
SDA-2.0	103	184	16	97	1592	0.1825
SDA-2.5	103	184	16	97	1598	0.1975
SDA-3.0	103	184	16	97	1610	0.235
\TheName{}-0.5	131	71	129	69	1742	0.2
\TheName{}-1.0	147	190	10	53	1670	0.205
\TheName{}-1.5	121	189	11	79	1700	0.2075
\TheName{}-2.0	113	187	13	87	1684	0.215
